職缺名稱,公司資訊,薪資,網址,所需技能,工作經歷,公司地址
「生醫大數據資料分析」研究助理,財團法人國家衛生研究院,"月薪32,000元以上",https://www.104.com.tw/job/6zkvc?jobsource=jolist_c_relevance,[''],不拘,苗栗縣竹南鎮頂埔里科研路35號
大數據資料庫分析師,豪銳資訊有限公司,"月薪35,000~50,000元",https://www.104.com.tw/job/72kkc?jobsource=jolist_c_relevance,"['C#', 'MS SQL', 'Tableau', '']",不拘,台北市中正區南海路37號
資訊工程師(大數據系統工程師),力晶積成電子製造股份有限公司(力積電),"月薪37,000元以上",https://www.104.com.tw/job/6oz7y?jobsource=jolist_c_relevance,[''],不拘,新竹市力行一路12號
【資訊專業】大數據資料管理師,亞太電信股份有限公司,待遇面議,https://www.104.com.tw/job/6te4b?jobsource=jolist_c_relevance,"['Python', 'R', 'SPSS', '']",3年以上,台北市內湖區基湖路32號
【 2020軟體技術人才招募】大數據工程師,緯創軟體股份有限公司,待遇面議,https://www.104.com.tw/job/69zh1?jobsource=jolist_c_relevance,"['Java', 'ETL', 'MS SQL', '']",2年以上,新北市汐止區新台五路一段93號32樓
人工智慧及大數據工程師,髮拉儷皮膚科診所,"月薪40,000~80,000元",https://www.104.com.tw/job/5qcze?jobsource=jolist_c_relevance,[''],不拘,台北市信義區忠孝東路五段139號4樓
[實習]大數據分析工程師(2021/2月起),力成科技股份有限公司,"月薪33,000~40,000元",https://www.104.com.tw/job/71qtx?jobsource=jolist_c_relevance,"['Python', 'R', '']",不拘,新竹縣湖口鄉大同路10號
資訊安全分析師(大數據平台Splunk操作 ),數聯資安股份有限公司,"月薪40,000~60,000元",https://www.104.com.tw/job/6iubm?jobsource=jolist_c_relevance,[''],不拘,台北市內湖區瑞光路218號2樓
數據分析師,大數據股份有限公司,"月薪35,000~50,000元",https://www.104.com.tw/job/5944x?jobsource=n104bank2,[''],不拘,台北市中山區
產品業務,大數據股份有限公司,待遇面議,https://www.104.com.tw/job/6agkb?jobsource=n104bank2,"['Excel', 'PowerPoint', 'Word', '']",2年以上,台北市中山區民生東路二段145號5樓
資訊安全分析師(大數據平台Splunk操作 ),數聯資安股份有限公司,"月薪40,000~60,000元",https://www.104.com.tw/job/6iubm?jobsource=n104bank2,[''],不拘,台北市內湖區瑞光路218號2樓
集團總部供應鏈大數據管理專員(全球第二大IT通路集團),聯強國際股份有限公司,待遇面議,https://www.104.com.tw/job/2tv5q?jobsource=n104bank2,[''],2年以上,台北市中山區台北總部(台北市中山區民生東路三段75號)
大數據平台工程師(亞太地區領導專業配銷商)-T7,群環科技股份有限公司,"月薪32,000~70,000元",https://www.104.com.tw/job/38d3v?jobsource=n104bank2,[''],1年以上,台北市大同區重慶北路2段243號8樓
大數據與AI人工智慧/專案工程師/PM,昱冠資訊股份有限公司,"月薪26,000~82,000元",https://www.104.com.tw/job/5nx3b?jobsource=n104bank2,[''],不拘,新竹市
